Record Type,Symbol,Plan Type,Quantity,Date Acquired,Date Acquired (Wash Sale Toggle = On),Acquisition Cost,Acquisition Cost Per Share,Ordinary Income Recognized,Ordinary Income Recognized Per Share,Adjusted Cost Basis,Adjusted Cost Basis Per Share,Date Sold,Total Proceeds,Proceeds Per Share,Deferred Loss,Gain/Loss,Gain/Loss (Wash Sale Toggle = On),Adjusted Gain/Loss,Adjusted Gain (Loss) Per Share,Capital Gains Status,Wash Sale Adjusted Capital Gains Status,Total Wash Sale Adjustment Amount,Wash Sale Adjustment Amount Per Share,Total Wash Sale Adjusted Cost Basis,Wash Sale Adjusted Cost Basis Per Share,Total Wash Sale Adjusted Gain/Loss,Wash Sale Adjusted Gain/Loss Per Share,Order Type,Covered Status,Qualified Plan?,Disposition Type,Type,Grant Date,Grant Date FMV,Discount Amount,Purchase Date,Purchase Date Fair Mkt. Value,Purchase Price,Grant Number,83(b) Election,Vest Date,Vest Date FMV,Exercise Date,Exercise Date FMV,Grant Price,Order Number
Summary,,,1530,,,,,,,,,,,,,"$244,557.70","$244,557.70","$244,557.70",,,,,,,,"$244,557.70",,,,,,,,,,,,,,,,,,,,
Sell,AVGO,OSPS,85.34,02/28/2022,02/28/2022,"$6,481.80",$75.95,$0.00,$0.00,"$6,481.80",$75.95,11/07/2024,"$15,723.75",$184.25,$0.00,"$9,241.95","$9,241.95","$9,241.95",$108.30,Long,Long,$0.00,$0.00,"$6,481.80",$75.95,"$9,241.95",$108.30,Sell OSPS,,,--,--,--,0,0,--,0.0,0,2007_CA,--,--,0at1900,--,0,75.95266,86965787
Sell,AVGO,OSPS,7.87,05/01/2022,05/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,450.04",$184.25,$0.00,"$1,450.04","$1,450.04","$1,450.04",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,450.04",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,42.02,05/01/2022,05/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$7,742.11",$184.25,$0.00,"$7,742.11","$7,742.11","$7,742.11",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$7,742.11",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD157249_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,10.5,06/01/2022,06/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,934.61",$184.25,$0.00,"$1,934.61","$1,934.61","$1,934.61",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,934.61",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD131301_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,9.19,08/01/2022,08/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,693.24",$184.25,$0.00,"$1,693.24","$1,693.24","$1,693.24",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,693.24",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,99.78,08/31/2022,08/31/2022,"$7,487.52",$75.04,$0.00,$0.00,"$7,487.52",$75.04,11/07/2024,"$18,384.31",$184.25,$0.00,"$10,896.79","$10,896.79","$10,896.79",$109.21,Long,Long,$0.00,$0.00,"$7,487.52",$75.04,"$10,896.79",$109.21,Sell OSPS,,,--,--,--,0,0,--,0.0,0,2007_CA,--,--,0at1900,--,0,75.040289,86965787
Sell,AVGO,OSPS,45.95,11/01/2022,11/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$8,466.21",$184.25,$0.00,"$8,466.21","$8,466.21","$8,466.21",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$8,466.21",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD157249_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,7.88,11/01/2022,11/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,451.88",$184.25,$0.00,"$1,451.88","$1,451.88","$1,451.88",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,451.88",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,11.82,12/01/2022,12/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$2,177.81",$184.25,$0.00,"$2,177.81","$2,177.81","$2,177.81",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$2,177.81",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD131301_CA,--,--,0at1900,--,0,0,86965787
