row id,type,share,acquire date,merge or sold date,long term,Box 1d Proceeds,Filing Cost Basis,total capital gain,total pending ordinary income,avgo share,total avgo cost basis,per share avgo cost base,per share purchase price,per share cost basis,per share merge gain,per share capital gain,espp offer date,espp offer data fmv,acquire date,acquire date fmv,qualifying disposition,per share ordinary income
3,RS,20.000,09/01/2023,11/22/2023,False,"$1,365.17 ","$710.02 ","$655.15 ",,2.626,"$2,572.17 ","$979.50 ","$164.10 ","$164.10 ","$32.76 ","$32.76 ",,,09/01/2023,"$164.10 ",,
4,RS,6.000,12/01/2020,11/22/2023,True,"$409.55 ","$0.00 ","$409.55 ",,0.788,"$745.26 ","$945.77 ","$140.75 ","$124.17 ","$72.69 ","$68.26 ",,,12/01/2020,"$140.75 ",,
5,RS,6.000,05/01/2023,11/22/2023,False,"$409.55 ","$0.00 ","$409.55 ",,0.788,"$762.13 ","$967.17 ","$126.98 ","$126.98 ","$69.88 ","$68.26 ",,,05/01/2023,"$126.98 ",,
6,ESPP,76.000,08/31/2022,11/22/2023,True,"$5,187.64 ","$0.00 ","$5,187.63 ","$1,330.49 ",9.978,"$8,818.21 ","$883.77 ","$98.52 ","$98.52 ","$98.33 ","$68.26 ",03/01/2022,"$115.91 ",08/31/2022,"$116.03 ",False,"$17.51 "
7,RS,9.000,12/01/2021,11/22/2023,True,"$614.33 ","$0.00 ","$614.33 ",,1.182,"$1,026.34 ","$868.30 ","$114.00 ","$114.00 ","$82.86 ","$68.26 ",,,12/01/2021,"$114.00 ",,
8,RS,20.000,05/01/2019,11/22/2023,True,"$1,365.17 ","$1,145.62 ","$219.55 ",,2.410,"$2,360.59 ","$979.50 ","$202.46 ","$185.88 ","$10.98 ","$10.98 ",,,05/01/2019,"$202.46 ",,
9,RS,36.000,11/11/2021,11/22/2023,True,"$2,457.30 ","$0.00 ","$2,457.30 ",,4.726,"$4,470.05 ","$945.84 ","$124.18 ","$124.18 ","$72.68 ","$68.26 ",,,11/11/2021,"$124.18 ",,
10,RS,18.000,02/01/2022,11/22/2023,True,"$1,228.65 ","$0.00 ","$1,228.65 ",,2.363,"$2,312.24 ","$978.52 ","$128.47 ","$128.47 ","$68.39 ","$68.26 ",,,02/01/2022,"$128.47 ",,
11,RS,116.000,03/01/2023,11/22/2023,False,"$7,917.97 ","$0.00 ","$7,917.97 ",,15.230,"$12,770.69 ","$838.52 ","$110.09 ","$110.09 ","$86.77 ","$68.26 ",,,03/01/2023,"$110.09 ",,
12,RS,26.000,01/01/2020,11/22/2023,True,"$1,774.72 ","$171.89 ","$1,602.83 ",,3.414,"$3,344.01 ","$979.50 ","$151.79 ","$135.21 ","$61.65 ","$61.65 ",,,01/01/2020,"$151.79 ",,
13,RS,26.000,01/01/2021,11/22/2023,True,"$1,774.72 ","$0.00 ","$1,774.72 ",,3.414,"$3,216.10 ","$942.03 ","$140.26 ","$123.68 ","$73.18 ","$68.26 ",,,01/01/2021,"$140.26 ",,
14,RS,32.000,05/01/2023,11/22/2023,False,"$2,184.26 ","$0.00 ","$2,184.27 ",,4.201,"$4,063.07 ","$967.17 ","$126.98 ","$126.98 ","$69.88 ","$68.26 ",,,05/01/2023,"$126.98 ",,
15,ESPP,65.000,02/28/2022,11/22/2023,True,"$4,436.79 ","$0.00 ","$4,436.79 ","$1,369.00 ",8.534,"$7,851.03 ","$919.97 ","$99.72 ","$99.72 ","$97.14 ","$68.26 ",03/01/2021,"$140.41 ",02/28/2022,"$117.32 ",True,"$21.06 "
16,RS,54.000,05/01/2021,11/22/2023,True,"$3,685.95 ","$845.15 ","$2,840.80 ",,7.090,"$6,944.65 ","$979.50 ","$160.83 ","$144.25 ","$52.61 ","$52.61 ",,,05/01/2021,"$160.83 ",,
